aStar,file,runtime,pathLength,nodesExploredH0,nodesExploredH1,nodesExploredH2,nodesExploredH3,nodesExploredH4
Dijkstra'sH0,grid_0_0.txt,2.185112860198956,138,12702,,,,
Dijkstra'sH0,grid_0_1.txt,2.4395153049157443,130,14139,,,,
Dijkstra'sH0,grid_0_2.txt,1.3135180555791521,194,8656,,,,
Dijkstra'sH0,grid_0_3.txt,1.8755708608184705,150,10689,,,,
Dijkstra'sH0,grid_0_4.txt,2.42148560810449,228,14892,,,,
Dijkstra'sH0,grid_0_5.txt,2.604079853131452,221,15441,,,,
Dijkstra'sH0,grid_0_6.txt,2.9133938205571894,188,15485,,,,
Dijkstra'sH0,grid_0_7.txt,2.843224237967206,165,13561,,,,
Dijkstra'sH0,grid_0_8.txt,2.700552542400146,215,15189,,,,
Dijkstra'sH0,grid_0_9.txt,2.9240974887924267,232,14056,,,,
Dijkstra'sH0,grid_1_0.txt,1.7462410427173154,156,11812,,,,
Dijkstra'sH0,grid_1_1.txt,2.2321021690256657,108,14026,,,,
Dijkstra'sH0,grid_1_2.txt,2.5262027012191766,134,14177,,,,
Dijkstra'sH0,grid_1_3.txt,1.4487329723496032,106,10992,,,,
Dijkstra'sH0,grid_1_4.txt,1.187960359032104,161,8644,,,,
Dijkstra'sH0,grid_1_5.txt,1.9581037023285717,188,14253,,,,
Dijkstra'sH0,grid_1_6.txt,1.9569367677653418,122,11111,,,,
Dijkstra'sH0,grid_1_7.txt,1.8463814318622553,159,14221,,,,
Dijkstra'sH0,grid_1_8.txt,1.9138128460084545,195,14695,,,,
Dijkstra'sH0,grid_1_9.txt,2.0514049178146934,198,14586,,,,
Dijkstra'sH0,grid_2_0.txt,1.755333314888503,190,12997,,,,
Dijkstra'sH0,grid_2_1.txt,2.035203046614015,107,14958,,,,
Dijkstra'sH0,grid_2_2.txt,1.716415712517346,202,12986,,,,
Dijkstra'sH0,grid_2_3.txt,2.0091025358402703,158,15241,,,,
Dijkstra'sH0,grid_2_4.txt,2.143585608372291,143,15443,,,,
Dijkstra'sH0,grid_2_5.txt,1.9097801165061128,199,13752,,,,
Dijkstra'sH0,grid_2_6.txt,1.9052087674939457,185,14186,,,,
Dijkstra'sH0,grid_2_7.txt,2.053126090514752,158,13918,,,,
Dijkstra'sH0,grid_2_8.txt,1.4763221614038002,140,9627,,,,
Dijkstra'sH0,grid_2_9.txt,2.111601337668503,212,15116,,,,
Dijkstra'sH0,grid_3_0.txt,1.722049128168237,121,10376,,,,
Dijkstra'sH0,grid_3_1.txt,1.955042005181781,165,15277,,,,
Dijkstra'sH0,grid_3_2.txt,1.7744375732402204,154,13918,,,,
Dijkstra'sH0,grid_3_3.txt,1.5092908518577133,159,11735,,,,
Dijkstra'sH0,grid_3_4.txt,1.5249250975272162,162,12107,,,,
Dijkstra'sH0,grid_3_5.txt,2.060865343337582,126,13753,,,,
Dijkstra'sH0,grid_3_6.txt,2.5809772262567776,125,14696,,,,
Dijkstra'sH0,grid_3_7.txt,1.7834388111280077,152,14668,,,,
Dijkstra'sH0,grid_3_8.txt,2.0806684236878255,137,15289,,,,
Dijkstra'sH0,grid_3_9.txt,1.757273148367176,151,14311,,,,
Dijkstra'sH0,grid_4_0.txt,1.9244281574393654,142,15193,,,,
Dijkstra'sH0,grid_4_1.txt,1.2269047361925232,156,9357,,,,
Dijkstra'sH0,grid_4_2.txt,1.4489708217272437,133,9088,,,,
Dijkstra'sH0,grid_4_3.txt,2.1196757216029027,130,13721,,,,
Dijkstra'sH0,grid_4_4.txt,1.7660686666243919,268,13260,,,,
Dijkstra'sH0,grid_4_5.txt,0.4282359787122232,112,4115,,,,
Dijkstra'sH0,grid_4_6.txt,1.0536736349542934,141,7437,,,,
Dijkstra'sH0,grid_4_7.txt,1.117594874234328,170,8244,,,,
Dijkstra'sH0,grid_4_8.txt,1.2171033783536132,127,9074,,,,
Dijkstra'sH0,grid_4_9.txt,2.607885443171881,197,15248,,,,
Dijkstra'sH1,grid_0_0.txt,2.3265908464135236,138,,12702,,,
Dijkstra'sH1,grid_0_1.txt,2.5853562430329475,130,,14139,,,
Dijkstra'sH1,grid_0_2.txt,1.3179760579835147,194,,8656,,,
Dijkstra'sH1,grid_0_3.txt,1.9565998516676473,150,,10689,,,
Dijkstra'sH1,grid_0_4.txt,2.630884540861416,228,,14892,,,
Dijkstra'sH1,grid_0_5.txt,2.741562148302023,221,,15441,,,
Dijkstra'sH1,grid_0_6.txt,2.7994559362831524,188,,15485,,,
Dijkstra'sH1,grid_0_7.txt,2.717827636401921,165,,13561,,,
Dijkstra'sH1,grid_0_8.txt,2.6748451747813533,215,,15189,,,
Dijkstra'sH1,grid_0_9.txt,2.6998421179929437,232,,14056,,,
Dijkstra'sH1,grid_1_0.txt,1.6910582021442906,156,,11812,,,
Dijkstra'sH1,grid_1_1.txt,2.262775367550944,108,,14026,,,
Dijkstra'sH1,grid_1_2.txt,2.613045837546565,134,,14177,,,
Dijkstra'sH1,grid_1_3.txt,1.4097274594205373,106,,10992,,,
Dijkstra'sH1,grid_1_4.txt,1.1598794063493187,161,,8644,,,
Dijkstra'sH1,grid_1_5.txt,1.9413118932722,188,,14253,,,
Dijkstra'sH1,grid_1_6.txt,1.9331973471538504,122,,11111,,,
Dijkstra'sH1,grid_1_7.txt,1.8026787284117063,159,,14221,,,
Dijkstra'sH1,grid_1_8.txt,1.8631085351780712,195,,14695,,,
Dijkstra'sH1,grid_1_9.txt,2.0209668911880954,198,,14586,,,
Dijkstra'sH1,grid_2_0.txt,1.6695718800452823,190,,12997,,,
Dijkstra'sH1,grid_2_1.txt,2.028397787688391,107,,14958,,,
Dijkstra'sH1,grid_2_2.txt,1.7779004459787302,202,,12986,,,
Dijkstra'sH1,grid_2_3.txt,1.984821371993803,158,,15241,,,
Dijkstra'sH1,grid_2_4.txt,2.110549534698862,143,,15443,,,
Dijkstra'sH1,grid_2_5.txt,1.9494192994466175,199,,13752,,,
Dijkstra'sH1,grid_2_6.txt,1.9810693315316712,185,,14186,,,
Dijkstra'sH1,grid_2_7.txt,2.09983783402663,158,,13918,,,
Dijkstra'sH1,grid_2_8.txt,1.5417432351263187,140,,9627,,,
Dijkstra'sH1,grid_2_9.txt,2.1243733583708035,212,,15116,,,
Dijkstra'sH1,grid_3_0.txt,1.683937446952541,121,,10376,,,
Dijkstra'sH1,grid_3_1.txt,1.91536399879692,165,,15277,,,
Dijkstra'sH1,grid_3_2.txt,1.7852121946669968,154,,13918,,,
Dijkstra'sH1,grid_3_3.txt,1.5645687429324653,159,,11735,,,
