aStar,file,runtime,pathLength,nodesExploredH0,nodesExploredH1,nodesExploredH2,nodesExploredH3,nodesExploredH4
Dijkstra's,grid_0_0.txt,2.171247089357289,138,12702,,,,
Dijkstra's,grid_0_1.txt,2.3560194634867737,130,14139,,,,
Dijkstra's,grid_0_2.txt,1.2535920610964988,194,8656,,,,
Dijkstra's,grid_0_3.txt,1.8902443378014508,150,10689,,,,
Dijkstra's,grid_0_4.txt,2.4438197985286356,228,14892,,,,
Dijkstra's,grid_0_5.txt,2.621553080573374,221,15441,,,,
Dijkstra's,grid_0_6.txt,2.711663633678045,188,15485,,,,
Dijkstra's,grid_0_7.txt,2.8247219661263223,165,13561,,,,
Dijkstra's,grid_0_8.txt,2.778561783272359,215,15189,,,,
Dijkstra's,grid_0_9.txt,2.806367848119116,232,14056,,,,
Dijkstra's,grid_1_0.txt,1.7138859411829266,156,11812,,,,
Dijkstra's,grid_1_1.txt,2.2314104869709404,108,14026,,,,
Dijkstra's,grid_1_2.txt,2.383751897663185,134,14177,,,,
Dijkstra's,grid_1_3.txt,1.3246635078365365,106,10992,,,,
Dijkstra's,grid_1_4.txt,1.1127022277517113,161,8644,,,,
Dijkstra's,grid_1_5.txt,1.8366907431521255,188,14253,,,,
Dijkstra's,grid_1_6.txt,1.821503636462623,122,11111,,,,
Dijkstra's,grid_1_7.txt,1.7147931602908457,159,14221,,,,
Dijkstra's,grid_1_8.txt,1.8448847211450357,195,14695,,,,
Dijkstra's,grid_1_9.txt,1.9821670978895156,198,14586,,,,
Dijkstra's,grid_2_0.txt,1.5962968681529048,190,12997,,,,
Dijkstra's,grid_2_1.txt,1.9478962601866954,107,14958,,,,
Dijkstra's,grid_2_2.txt,1.6789524274470082,202,12986,,,,
Dijkstra's,grid_2_3.txt,2.0349982194765204,158,15241,,,,
Dijkstra's,grid_2_4.txt,2.1400852509288626,143,15443,,,,
Dijkstra's,grid_2_5.txt,1.8080211913531699,199,13752,,,,
Dijkstra's,grid_2_6.txt,1.7343749023835784,185,14186,,,,
Dijkstra's,grid_2_7.txt,1.8685737159034232,158,13918,,,,
Dijkstra's,grid_2_8.txt,1.371657725374554,140,9627,,,,
Dijkstra's,grid_2_9.txt,1.9014460171162284,212,15116,,,,
Dijkstra's,grid_3_0.txt,1.534425685233792,121,10376,,,,
Dijkstra's,grid_3_1.txt,1.777827261554883,165,15277,,,,
Dijkstra's,grid_3_2.txt,1.5671226115772399,154,13918,,,,
Dijkstra's,grid_3_3.txt,1.3672956659648747,159,11735,,,,
Dijkstra's,grid_3_4.txt,1.3859135156458535,162,12107,,,,
Dijkstra's,grid_3_5.txt,1.884716236321438,126,13753,,,,
Dijkstra's,grid_3_6.txt,2.2966329810068657,125,14696,,,,
Dijkstra's,grid_3_7.txt,1.6874221857688525,152,14668,,,,
Dijkstra's,grid_3_8.txt,1.9931362827846044,137,15289,,,,
Dijkstra's,grid_3_9.txt,1.6431813090551515,151,14311,,,,
Dijkstra's,grid_4_0.txt,1.7833517930630052,142,15193,,,,
Dijkstra's,grid_4_1.txt,1.2270332551807002,156,9357,,,,
Dijkstra's,grid_4_2.txt,1.3129406126250274,133,9088,,,,
Dijkstra's,grid_4_3.txt,2.070576113139552,130,13721,,,,
Dijkstra's,grid_4_4.txt,1.7003753825448058,268,13260,,,,
Dijkstra's,grid_4_5.txt,0.4335257845682605,112,4115,,,,
Dijkstra's,grid_4_6.txt,1.0355622750359856,141,7437,,,,
Dijkstra's,grid_4_7.txt,1.0503415124364324,170,8244,,,,
Dijkstra's,grid_4_8.txt,1.140170484007868,127,9074,,,,
Dijkstra's,grid_4_9.txt,2.3909284336659056,197,15248,,,,
aStarH0,grid_0_0.txt,1.6440983455857747,145,8818,,,,
aStarH0,grid_0_1.txt,1.5265043638443956,130,9760,,,,
aStarH0,grid_0_2.txt,0.7280930905871372,194,4342,,,,
aStarH0,grid_0_3.txt,1.138697870601007,150,6166,,,,
aStarH0,grid_0_4.txt,2.302103962936556,228,11993,,,,
aStarH0,grid_0_5.txt,2.7577247498119135,226,12916,,,,
aStarH0,grid_0_6.txt,2.25074813223533,182,12829,,,,
aStarH0,grid_0_7.txt,1.8286855274231755,165,8318,,,,
aStarH0,grid_0_8.txt,1.5048930927291195,215,10445,,,,
aStarH0,grid_0_9.txt,2.371467624371121,233,9863,,,,
aStarH0,grid_1_0.txt,1.0523500678740874,159,7840,,,,
aStarH0,grid_1_1.txt,1.8660542082382392,115,11263,,,,
aStarH0,grid_1_2.txt,1.6963306043873132,144,9682,,,,
aStarH0,grid_1_3.txt,1.1600632599019889,110,8542,,,,
aStarH0,grid_1_4.txt,0.7881230605012064,161,5766,,,,
aStarH0,grid_1_5.txt,1.970184040976136,185,12815,,,,
aStarH0,grid_1_6.txt,1.2771119284363408,131,7290,,,,
aStarH0,grid_1_7.txt,1.786462131076874,162,12725,,,,
aStarH0,grid_1_8.txt,1.8419814415011047,195,13251,,,,
aStarH0,grid_1_9.txt,2.3091100327812626,204,13070,,,,
aStarH0,grid_2_0.txt,1.5132410257600242,193,10275,,,,
aStarH0,grid_2_1.txt,1.6310701794000124,133,11925,,,,
aStarH0,grid_2_2.txt,1.6637041849888021,209,10684,,,,
aStarH0,grid_2_3.txt,1.9312459112665579,158,14042,,,,
aStarH0,grid_2_4.txt,2.1287987847815657,117,14546,,,,
aStarH0,grid_2_5.txt,1.7717944552981635,198,11577,,,,
aStarH0,grid_2_6.txt,1.8172772359849603,185,12102,,,,
aStarH0,grid_2_7.txt,1.9360845619242752,156,12021,,,,
aStarH0,grid_2_8.txt,1.2325921476683277,137,6992,,,,
aStarH0,grid_2_9.txt,1.7762042630819508,220,12440,,,,
aStarH0,grid_3_0.txt,0.8598107736397083,125,6208,,,,
aStarH0,grid_3_1.txt,1.7962746450778582,169,13615,,,,
